,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
180,École Supérieur en Génie Electrique et Energétique d'Oran,world rank  10945,"Boîte Postale 64 CH2 ACHABA HANIFI -USTO
Oran
Oran
Algeria",+213 (41) 627 113,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
181,École Supérieure Africaine des Technologies de l'Information et de la Communication,world rank  11242,"Treichville, Km4 Boulevard de Marseille
Abidjan
Abidjan
Ivory Coast",+225 (21) 225 494,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
182,École Supérieure d’Architecture de Casablanca,world rank  11919,"Angle Bd. Abou Hanifa Al Noâman et Tarik Al Kheir - Sidi Bernoussi
Casablanca
20610 Casablanca-Settat
Morocco",+212 522 75 03 75,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
183,"École Supérieure d'Administration, d'Economie, de Journalisme et des Métiers de l'Audiovisuel",world rank  13236,"Gbèdjromèdé 3ème rue après « Carrefour 16 ampoules » en allant à Jéricho
Cotonou
Littoral
Benin",+229 (98) 981 400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
184,École Supérieure d'Agriculture d'Angers,world rank  4688,"55, Rue Rabelais
Angers
49007 Pays de la Loire
France",+33 (0)2 41 23 55 55,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,Fédération des établissements d'enseignement supérieur d'intérêt collectif (FESIC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
185,École Supérieure d'Agro-développement International,world rank  7285,"4, rue Joseph Lakanal
Angers
49000 Pays de la Loire
France",+33 (0)2 53 61 84 60,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
186,École Supérieure de Chimie Organique et Minérale,world rank  7095,"1 allée du réseau Jean-Marie Buckmaster
Compiègne
60200 Hauts-de-France
France",+33 (0)3 44 23 88 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,"Conférence des Grandes Ecoles (CGE)
Fédération des établissements d'enseignement supérieur d'intérêt collectif (FESIC)
Fédération Gay-Lussac (FGL)","École Supérieure de Chimie Organique et Minérale
|
School of Chemistry School of Chemical Engineering and Biotechnologies","['library', 'housing', 'sports facilities', 'financial aid']"
187,École Supérieure de Chimie Physique Électronique de Lyon,world rank  4700,"43, Boulevard du 11 Novembre 1918
Villeurbanne
69616 Auvergne-Rhone-Alpes
France",+33 (0)4 72 43 17 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Fédération des établissements d'enseignement supérieur d'intérêt collectif (FESIC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
188,École Supérieure de Commerce,world rank  9494,"1, Rampe Salah Gharbi, Agha
Algiers
16000 Algiers
Algeria",+213 (21) 423 231,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"École Supérieure de Commerce
|
Department of Accountancy Department of Finance Department of Management Department of Marketing",['library']
189,École Supérieure de Commerce d'Amiens,world rank  8231,"18, place Saint Michel, CS53802
Amiens
80038 Hauts-de-France
France",+33 (0)3 22 82 23 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,Chambre de Commerce et d’Industrie Amiens-Picardie,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
190,École Supérieure de Commerce de Dakar,world rank  9319,"188, Avenue Léopold Sédar Senghor x Nicolas BAKHAZY
Dakar
Dakar
Senegal",+221 33 951 1003,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['distant learning']
191,École Supérieure de Commerce de Dijon-Bourgogne,world rank  3904,"29 Rue Sambin
Dijon
21000 Bourgogne-Franche-Comte
France",+33 (0)3 80 72 59 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,Chambre de commerce et d'industrie de Dijon,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
192,École Superieure de Commerce de Marrakech,world rank  11351,"Bd Prince My Abdellah B.P. 595, Gueliz
Marrakesh
40000 Marrakesh-Safi
Morocco",+212 524 433 393,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,École supérieure de commerce de Toulouse,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
193,École Supérieure de Commerce de Pau,world rank  6669,"3, Rue Saint John Perse
Pau
64000 Nouvelle-Aquitaine
France",+33 (0)5 59 92 64 64,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
194,École Supérieure de Commerce et de Développement 3A,world rank  6195,"CAMPUS HEP Lyon - René Cassin, 47 Rue Sergent Michel Berthet
Lyon
69009 Auvergne-Rhone-Alpes
France",+33 (0)4 72 85 73 73,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
195,École Supérieure de Commerce et de Management,world rank  6743,"8 rue Léo Delibes - Bât. D
Tours
37200 Centre-Val de Loire
France",+33 (0)2 47 22 41 69,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
196,École Supérieure de Comptabilité et de Finances de Constantine,world rank  12776,"5 Chemin Forestier
Constantine
25000 Constantine
Algeria",+213 (31) 733 191,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
197,École Supérieure de Fonderie et de Forge,world rank  7411,"44 Avenue de la division Leclerc
Sèvres
92310 Ile-de-France
France",+33 (0)1 55 64 04 40,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
198,École Supérieure de Génie Civil Verechaguine AK,world rank  13119,"Rue 617A
Cotonou
Littoral
Benin",+229 (97) 311 692,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
199,École Supérieure de Génie Telecoms et TIC,world rank  Un,"Cotonou
Littoral
Benin",+229,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
200,École Supérieure de Génies,world rank  12968,"Rue 13 Liberté V Immeuble 5658
Dakar
Dakar
Senegal",+221 33 864 6507,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
